iter	RMSE
486	7.75933556
487	7.756916041
488	7.751393145
489	7.743877258
490	7.735814231
491	7.730348347
492	7.721246306
493	7.71781496
494	7.715309085
495	7.708683793
496	7.703079096
497	7.699035208
498	7.696934104
499	7.695879924
500	7.69252152
501	7.691047712
502	7.687955563
503	7.683859641
504	7.678210361
505	7.676597273
506	7.672146325
507	7.665941631
508	7.661699856
509	7.653356081
510	7.645301566
511	7.642123094
512	7.635658296
513	7.633571243
514	7.628566361
515	7.626446563
516	7.620581225
517	7.618631579
518	7.614997416
519	7.609690846
520	7.601845892
521	7.599932588
522	7.597563732
523	7.590935993
524	7.590268582
525	7.583900996
526	7.583349775
527	7.578640506
528	7.574520258
529	7.571736803
530	7.567915902
531	7.560055926
532	7.557016704
533	7.555227199
534	7.546483262
535	7.541790673
536	7.532153494
537	7.526518715
538	7.519423246
539	7.518701475
540	7.51460661
541	7.510566176
542	7.509551067
543	7.507092338
544	7.503250636
545	7.502606947
546	7.495957774
547	7.49467509
548	7.487432364
549	7.485299955
550	7.483158638
551	7.477639764
552	7.472477518
553	7.464629739
554	7.464118321
555	7.461527307
556	7.455433316
557	7.450798893
558	7.446392232
559	7.441353763
560	7.440065326
561	7.435467705
562	7.428997981
563	7.42741806
564	7.427164166
565	7.421926715
566	7.416701534
567	7.41210813
568	7.410074965
569	7.402040088
570	7.397462668
571	7.391907951
572	7.390615047
573	7.383350252
574	7.380483043
575	7.375989219
576	7.374451659
577	7.367822746
578	7.363750321
579	7.358098802
580	7.352328577
581	7.346267366
582	7.341070566
583	7.340375566
584	7.337082557
585	7.331798161
586	7.328273908
587	7.327030805
588	7.323866385
589	7.317157595
590	7.312662157
591	7.304558878
592	7.298729164
593	7.296509567
594	7.295707478
595	7.29288986
596	7.291652437
597	7.287132319
598	7.282116081
599	7.277578706
600	7.274212653
601	7.26945096
602	7.26365223
603	7.262060211
604	7.256857718
605	7.248537133
606	7.247357517
607	7.243377683
608	7.237335033
609	7.235094717
610	7.233619407
611	7.227966985
612	7.221553422
613	7.216527703
614	7.215009902
615	7.210679083
616	7.204642039
617	7.201809464
618	7.2007172
619	7.194609572
620	7.192562591
621	7.189916144
622	7.184625937
623	7.182494676
624	7.175502007
625	7.174293816
626	7.166787765
627	7.162786856
628	7.161440535
629	7.160646882
630	7.152718695
631	7.146252994
632	7.145334078
633	7.142044396
634	7.138299084
635	7.130631823
636	7.126486038
637	7.124598522
638	7.120997966
639	7.118852193
640	7.112660788
641	7.107271778
642	7.10536476
643	7.101261329
644	7.099687511
645	7.095166453
646	7.093303186
647	7.086486072
648	7.084074526
649	7.080322378
650	7.073795355
651	7.072742452
652	7.0649913
653	7.060985303
654	7.057436362
655	7.056160498
656	7.05205987
657	7.047978833
658	7.04317775
659	7.04193823
660	7.038500361
661	7.037072285
662	7.030808838
663	7.027151564
664	7.022514271
665	7.016764612
666	7.013684869
667	7.008999268
668	7.003598777
669	6.996176341
670	6.995253706
671	6.991299038
672	6.984089606
673	6.98156897
674	6.980087843
675	6.975734656
676	6.970293272
677	6.962875593
678	6.959405141
679	6.957316064
680	6.951798627
681	6.948669305
682	6.947108865
683	6.943207534
684	6.936331686
685	6.932840964
686	6.928310301
687	6.925345807
688	6.923665346
689	6.919915838
690	6.916582722
691	6.911830949
692	6.910094975
693	6.908267588
694	6.90681578
695	6.901252108
696	6.899981452
697	6.893734712
698	6.892247675
699	6.887348387
700	6.885086196
701	6.882182241
702	6.87805937
703	6.875517692
704	6.87327406
705	6.871218936
706	6.864751638
707	6.863068396
708	6.858921731
709	6.854234205
710	6.851543124
711	6.847360478
712	6.844073878
713	6.839674548
714	6.836363184
715	6.832224335
716	6.828412501
717	6.825211529
718	6.819733051
719	6.816828788
720	6.815497954
721	6.80981582
722	6.806646648
723	6.802479125
724	6.801074286
725	6.798907547
726	6.796510083
727	6.793202818
728	6.786185105
729	6.784788801
730	6.780701046
731	6.778556879
732	6.777576304
733	6.775700197
734	6.773195663
735	6.77231242
736	6.771493856
737	6.769098455
738	6.765588171
739	6.759801686
740	6.75832907
741	6.756642162
742	6.75243121
743	6.750989676
744	6.749901852
745	6.749553381
746	6.746809382
747	6.745669657
748	6.743412079
749	6.742210669
750	6.740463698
751	6.738803671
752	6.737729122
753	6.736614164
754	6.732204517
755	6.73095751
756	6.728294349
757	6.727388707
758	6.72065818
759	6.718799252
760	6.716656349
761	6.713589459
762	6.712884777
763	6.711399603
764	6.70937749
765	6.707928964
766	6.705252793
767	6.702818829
768	6.69950786
769	6.696405831
770	6.692503061
771	6.690028356
772	6.688823241
773	6.682512669
774	6.67887722
775	6.675913905
776	6.673068897
777	6.670291351
778	6.668610911
779	6.6641532
780	6.660908725
781	6.660384672
782	6.65885475
783	6.655595587
784	6.654576386
785	6.651354341
786	6.649355904
787	6.648004677
788	6.643083759
789	6.637797904
790	6.635769836
791	6.634607001
792	6.633146445
793	6.631500824
794	6.630206139
795	6.626613695
796	6.6207073
797	6.619495636
798	6.618330425
799	6.617445605
800	6.614569849
801	6.607834207
802	6.606539272
803	6.603424349
804	6.597113005
805	6.594769302
806	6.593782488
807	6.59170086
808	6.589552487
809	6.586678481
810	6.586116668
811	6.585111702
812	6.581236562
813	6.579765036
814	6.576183742
815	6.56935212
816	6.568734243
817	6.567909023
818	6.566213355
819	6.56293556
820	6.557629795
821	6.552294429
822	6.548339736
823	6.545272894
824	6.544102799
825	6.541189547
826	6.538401207
827	6.537557058
828	6.535821664
829	6.532601965
830	6.531546083
831	6.528412123
832	6.525741442
833	6.525233135
834	6.523674024
835	6.519888092
836	6.514819641
837	6.51255498
838	6.510703578
839	6.50788928
840	6.503345933
841	6.499316537
842	6.49438039
843	6.492247951
844	6.489806996
845	6.487888395
846	6.486577892
847	6.484426853
848	6.481392012
849	6.480569723
850	6.479739522
851	6.476940385
852	6.475938833
853	6.472698357
854	6.470239918
855	6.469671396
856	6.466433039
857	6.46363953
858	6.45999648
859	6.454518986
860	6.451680609
861	6.448692309
862	6.446737675
863	6.444832603
864	6.442063334
865	6.436054083
866	6.432279577
867	6.429688261
868	6.42852171
869	6.424076156
870	6.420827999
871	6.42004217
872	6.418815029
873	6.417080185
874	6.415916038
875	6.413727704
876	6.412612176
877	6.410113511
878	6.403996404
879	6.40136831
880	6.399292071
881	6.398530088
882	6.396559162
883	6.394960406
884	6.393550694
885	6.390202455
886	6.389149398
887	6.388052418
888	6.384756418
889	6.381585685
890	6.380204646
891	6.377306251
892	6.374781505
893	6.36845266
894	6.367377275
895	6.362649294
896	6.359292593
897	6.357415254
898	6.355256574
899	6.351797056
900	6.350300348
901	6.346710434
902	6.342581841
903	6.340177985
904	6.337342723
905	6.331692924
906	6.328212017
907	6.327548156
908	6.324961336
909	6.320472392
910	6.319150217
911	6.316895162
912	6.316149549
913	6.315811386
914	6.314561691
915	6.311156773
916	6.310152291
917	6.306833202
918	6.301527946
919	6.300842122
920	6.297411017
921	6.29373701
922	6.29068378
923	6.287657424
924	6.285090389
925	6.281492357
926	6.280646339
927	6.277055175
928	6.269644573
929	6.263356577
930	6.260853404
931	6.255350245
932	6.253527802
933	6.250320161
934	6.249467129
935	6.247295469
936	6.242780495
937	6.240106242
938	6.239219255
939	6.237427168
940	6.234198248
941	6.232695939
942	6.231259718
943	6.229525703
944	6.227755246
945	6.226877622
946	6.221401539
947	6.220049675
948	6.219141281
949	6.21846353
950	6.218024345
951	6.217329946
952	6.213453918
953	6.21260565
954	6.210362587
955	6.20821241
956	6.207440513
957	6.203989317
958	6.202053884
959	6.200086994
960	6.196817229
961	6.191530726
962	6.187816455
963	6.184474637
964	6.1833609
965	6.178228285
966	6.177916114
967	6.177247865
968	6.17415373
969	6.169453762
970	6.169025827
971	6.163171281
972	6.162282583
973	6.159849976
974	6.159435782
975	6.155543243
976	6.152446855
977	6.151385514
978	6.148124992
979	6.144644783
980	6.140972337
981	6.136025895
982	6.13388168
983	6.131986134
984	6.131216795
985	6.12958996
986	6.128239099
987	6.123966232
988	6.123095657
989	6.118794443
990	6.118517596
991	6.118023519
992	6.117489254
993	6.116897942
994	6.115571467
995	6.114523502
996	6.112542189
997	6.111262936
998	6.110421648
999	6.110064607
